District,Variety,Area,Yield,Production
Comilla,Boro,155545,4.256,661981.6
Dhaka,Boro,47074,3.842,180846.7
Dinajpur,Boro,170739,3.992,681567
Faridpur,Boro,22738.6,3.82,86868.48
Feni,Boro,26808.7,3.548,95106.9
Gaibandha,Boro,124073,3.863,479310
Gazipur,Boro,58950,4.139,244017.5
Gopalganj,Boro,73829,4.8,354393.9
Habiganj,Boro,117416,3.479,408473
Jamalpur,Boro,128592,4.003,514788
Jessore,Boro,161981,4.626,749344
Jhalokati,Boro,9614.75,3.691,35488.16
Jhenaidah,Boro,87488.6,4.503,393930
Joypurhat,Boro,70845,4.095,290082
Khagrachhari,Boro,10079,3.609,36379.99
Khulna,Boro,57459,4.691,269538
Kishoreganj,Boro,165510,4.304,712400.3
Kurigram,Boro,113480,4.21,477747
Kushtia,Boro,34941.9,4.229,147782
Lakshmipur,Boro,26030.5,4.334,112820.2
Lalmonirhat,Boro,45542.5,3.934,179177
Madaripur,Boro,35157.4,4.149,145874.4
Magura,Boro,37837,3.897,147455
Manikganj,Boro,46950,4.398,206490.5
Maulvibazar,Boro,52650,3.182,167550
Meherpur,Boro,21558.4,3.782,81544.7
Munshiganj,Boro,20746.6,4.018,83370.29
Mymensingh,Boro,256441,3.972,1018506
Naogaon,Boro,188013,4.342,816283
Narail,Boro,52709.3,4.352,229374
Narsingdi,Boro,47320.2,4.052,191746.7
Narayanganj,Boro,22927,3.853,88327.6
Natore,Boro,61407.5,4.486,275484
Netrakona,Boro,182698,3.952,722000
Nilphamari,Boro,83411,4.265,355759
Noakhali,Boro,63448.5,4.918,312045.5
Pabna,Boro,54658.7,3.762,205636
Panchagarh,Boro,33429.2,4.183,139838
Patuakhali,Boro,1048.93,2.634,2763.006
Pirojpur,Boro,22407.8,4.267,95623.43
Rajbari,Boro,13457.6,3.888,52318.09
Rajshahi,Boro,68086.7,3.998,272192
Rangamati,Boro,7455.38,3.989,29739.77
Rangpur,Boro,134680,4.492,604948
Satkhira,Boro,74854.9,4.082,305563
Shariatpur,Boro,25289,4.305,108868.9
Sherpur,Boro,95875.1,4.139,396798
Sirajganj,Boro,140289,4.411,618878
Sunamganj,Boro,217050,3.558,772322
Sylhet,Boro,83367,2.788,232389
Tangail,Boro,168445,4.332,729684.9
Thakurgaon,Boro,58683.2,3.904,229103
